Rank,Player,Club,Matches,Goals
1,M.Salah,Liverpool,38,29  
2,A.Isak,Newcastle United,34,23  
3,E.Haaland,Manchester City,31,22  
4,C.Wood,Nottingham Forest,36,20  
5,B.Mbeumo,Brentford,38,20  
6,Y.Wissa,Brentford,35,19  
7,O.Watkins,Aston Villa,38,16  
8,M.Cunha,Manchester United,33,15  
9,C.Palmer,Chelsea,37,15  
10,J.Larsen,Wolverhampton Wanderers,35,14  
11,J.Mateta,Crystal Palace,37,14  
12,L.Diaz,Liverpool,36,13  
13,J.Bowen,West Ham United,34,13  
14,L.Delap,Chelsea,37,12  
15,R.Jiménez,Fulham,38,12  
16,J.Kluivert,AFC Bournemouth,34,12  
17,A.Semenyo,AFC Bournemouth,37,11  
18,B.Johnson,Tottenham Hotspur,33,11  
19,K.Schade,Brentford,38,11  
20,C.Gakpo,Liverpool,35,10  
21,E.Evanilson,AFC Bournemouth,31,10  
22,K.Mitoma,Brighton & Hove Albion,36,10  
23,N.Jackson,Chelsea,30,10  
24,D.Welbeck,Brighton & Hove Albion,30,10  
25,J.Pedro,Chelsea,27,10  
26,A.Iwobi,Fulham,38,9  
27,H.Barnes,Newcastle United,33,9  
28,J.Maddison,Tottenham Hotspur,31,9  
29,K.Havertz,Arsenal,23,9  
30,T.Soucek,West Ham United,35,9  
