Rank,Player,Goals_Per_90,Club
1,J.Duran,1.01,Aston Villa  
2,M.Salah,0.77,Liverpool  
3,R.Muniz,0.76,Fulham  
4,A.Isak,0.75,Newcastle United  
5,E.Haaland,0.72,Manchester City  
6,C.Wood,0.6,Nottingham Forest  
7,Y.Wissa,0.58,Brentford  
8,O.Watkins,0.55,Aston Villa  
9,B.Mbeumo,0.53,Brentford  
11,L.Diaz,0.49,Liverpool  
12,J.Larsen,0.48,Wolverhampton Wanderers  
13,J.Mateta,0.47,Crystal Palace  
14,B.Beto,0.47,Everton  
15,H.Wilson,0.47,Fulham  
16,R.Barkley,0.47,Luton Town  
17,J.Kluivert,0.46,AFC Bournemouth  
18,C.Gakpo,0.46,Liverpool  
19,J.Pedro,0.46,Brighton & Hove Albion  
21,B.Johnson,0.45,Tottenham Hotspur  
22,J.Maddison,0.45,Tottenham Hotspur  
23,D.Jota,0.45,Liverpool  
24,R.Jimenez,0.43,Fulham  
25,K.Schade,0.43,Brentford  
26,K.Havertz,0.43,Arsenal  
27,C.Palmer,0.42,Chelsea  
28,D.Welbeck,0.42,Brighton & Hove Albion  
29,G.Hirst,0.42,Ipswich Town  
