Rank,Player,Interceptions,Club  
1,R.Bentancur,2.2,Tottenham Hotspur  
2,W.Endo,2.1,Liverpool  
3,J.Bednarek,2.0,Southampton  
4,H.Maguire,2.0,Manchester United  
5,A.Wan-Bissaka,1.9,West Ham United  
6,D.Huijsen,1.9,AFC Bournemouth  
7,A.Robinson,1.8,Fulham  
8,K.Mavropanos,1.8,West Ham United  
9,L.Bergvall,1.8,Tottenham  
11,J.Lerma,1.7,Crystal Palace  
12,M.Lacroix,1.6,Crystal Palace  
13,C.Norgaard,1.6,Brentford  
14,C.Baleba,1.6,Brighton & Hove Albion  
15,K.Tete,1.6,Fulham  
16,L.Martinez,1.6,Manchester United  
17,R.Barkley,1.6,Luton Town  
18,V.van Dijk,1.5,Liverpool  
19,V.Kristiansen,1.5,Leicester City  
21,O.Mangala,1.5,Nottingham Forest  
22,M.Wieffer,1.5,Brighton & Hove Albion  
23,J.Philogene-Bidace,1.5,Aston Villa  
24,I.G.Gueye,1.4,Everton  
25,J.Justin,1.4,Leicester City  
26,F.Schaer,1.4,Newcastle United  
27,P.Estupinian,1.4,Brighton & Hove Albion  
28,M.de Ligt,1.4,Manchester United  
29,P.Sarr,1.4,Tottenham Hotspur  
