Rank,Player,Save_Percentage,Club  
1,M.Flekken,73.6,Brentford  
2,R.Sanchez,73.6,Chelsea  
3,J.Pickford,73.5,Everton  
4,A.Becker,72.9,Liverpool  
5,M.Sels,72.3,Nottingham Forest  
6,D.Raya,71.7,Arsenal  
7,N.Pope,71.5,Newcastle United  
8,K.Arrizabalaga,71.3,Chelsea  
9,E.Martinez,69.0,Aston Villa  
11,A.Onana,67.2,Manchester United  
12,B.Leno,67.1,Fulham  
13,D.Henderson,67.1,Crystal Palace  
14,A.Areola,66.7,West Ham United  
15,A.Ramsdale,65.4,Arsenal  
16,G.Vicario,64.8,Tottenham Hotspur  
17,M.Hermansen,64.0,Leicester City  
18,B.Verbruggen,61.1,Brighton & Hove Albion  
19,J.Sa,59.7,Wolverhampton Wanderers  
