Rank,Player,Total_Scoring_Attempts,Club  
1,J.Duran,4.5,Aston Villa  
2,J.Enciso,4.0,Brighton & Hove Albion  
3,M.Cunha,3.8,Wolverhampton Wanderers  
4,D.Jota,3.8,Liverpool  
5,E.Nketiah,3.8,Arsenal  
6,R.Muniz,3.7,Fulham  
7,M.Salah,3.5,Liverpool  
8,E.Haaland,3.5,Manchester City  
9,C.Palmer,3.5,Chelsea  
11,B.Saka,3.5,Arsenal  
12,A.Semenyo,3.5,AFC Bournemouth  
13,N.Madueke,3.5,Chelsea  
14,E.Eze,3.5,Crystal Palace  
15,R.Jimenez,3.4,Fulham  
16,A.Garnacho,3.4,Manchester United  
17,H.Wilson,3.3,Fulham  
18,A.Isak,3.2,Newcastle United  
19,H.Barnes,3.2,Newcastle United  
21,K.De Bruyne,3.0,Manchester City  
22,O.Watkins,2.9,Aston Villa  
23,B.Beto,2.9,Everton  
24,P.Onuachu,2.9,Southampton  
25,B.Fernandes,2.9,Manchester United  
26,Y.Wissa,2.8,Brentford  
27,E.Evanilson,2.8,AFC Bournemouth  
28,D.Ouattara,2.8,AFC Bournemouth  
29,E.Ferguson,2.8,Brighton & Hove Albion  
