Rank,Player,Won_Tackles,Club  
1,Casemiro,3.0,Manchester United  
2,M.Wieffer,3.0,Brighton & Hove Albion  
3,W.Endo,2.8,Liverpool  
4,M.Ugarte,2.5,Manchester United  
5,I.G.Gueye,2.3,Everton  
6,T.Adams,2.3,AFC Bournemouth  
7,J.Devenny,2.2,Crystal Palace  
8,D.Munoz,2.2,Crystal Palace  
9,D.Udogie,2.2,Tottenham Hotspur  
11,N.Mazraoui,2.1,Manchester United  
12,N.Dominguez,2.1,Nottingham Forest  
13,M.Caicedo,2.0,Chelsea  
14,N.Williams,2.0,Nottingham Forest  
15,Y.Bissouma,2.0,Tottenham Hotspur  
16,A.Mac Allister,2.0,Liverpool  
17,Andre,2.0,Wolverhampton Wanderers  
18,W.Ndidi,2.0,Leicester City  
19,T.Alexander-Arnold,1.9,Liverpool  
21,F.Buonanotte,1.9,Brighton & Hove Albion  
22,F.Carvalho,1.8,Liverpool  
23,J.Garner,1.8,Everton  
24,E.Anderson,1.8,Newcastle United  
25,S.Longstaff,1.8,Newcastle United  
26,V.Kristiansen,1.8,Leicester City  
27,J.Lindstram,1.8,Everton  
28,P.Porro,1.7,Tottenham Hotspur  
29,P.Sarr,1.7,Tottenham Hotspur  
